Geo,Year,AveHhSize,Prop1PerHh
Baker,1990,2.291761,0.312358
Benton,1990,2.493779,0.2823091
Clackamas,1990,2.578997,0.2406132
Clatsop,1990,2.353008,0.3152678
Columbia,1990,2.572501,0.233243
Coos,1990,2.323481,0.2977186
Crook,1990,2.451274,0.2412947
Curry,1990,2.146875,0.3235096
Deschutes,1990,2.461115,0.2410979
Douglas,1990,2.415087,0.2658307
Gilliam,1990,2.165509,0.3564815
Grant,1990,2.221062,0.303401
Harney,1990,2.315757,0.300156
Hood River,1990,2.734125,0.2379787
Jackson,1990,2.446025,0.2772762
Jefferson,1990,2.788042,0.221709
Josephine,1990,2.387375,0.2834959
Klamath,1990,2.433284,0.2731672
Lake,1990,2.337182,0.3134991
Lane,1990,2.409568,0.2889577
Lincoln,1990,2.240097,0.3124088
Linn,1990,2.580424,0.2438577
Malheur,1990,3.007684,0.2602056
Marion,1990,2.791977,0.2503964
Morrow,1990,2.853166,0.1912666
Multnomah,1990,2.41456,0.3264214
Polk,1990,2.665418,0.2296055
Sherman,1990,2.269923,0.3059126
Tillamook,1990,2.330626,0.2908436
Umatilla,1990,2.820733,0.2473238
Union,1990,2.451957,0.2763546
Wallowa,1990,2.236834,0.3003511
Wasco,1990,2.513659,0.2876371
Washington,1990,2.636209,0.2509727
Wheeler,1990,2.213518,0.3241167
Yamhill,1990,2.856575,0.2167502
Baker,1995,2.291761,0.312358
Benton,1995,2.493779,0.2823091
Clackamas,1995,2.578997,0.2406132
Clatsop,1995,2.353008,0.3152678
Columbia,1995,2.572501,0.233243
Coos,1995,2.323481,0.2977186
Crook,1995,2.451274,0.2412947
Curry,1995,2.146875,0.3235096
Deschutes,1995,2.461115,0.2410979
Douglas,1995,2.415087,0.2658307
Gilliam,1995,2.165509,0.3564815
Grant,1995,2.221062,0.303401
Harney,1995,2.315757,0.300156
Hood River,1995,2.734125,0.2379787
Jackson,1995,2.446025,0.2772762
Jefferson,1995,2.788042,0.221709
Josephine,1995,2.387375,0.2834959
Klamath,1995,2.433284,0.2731672
Lake,1995,2.337182,0.3134991
Lane,1995,2.409568,0.2889577
Lincoln,1995,2.240097,0.3124088
Linn,1995,2.580424,0.2438577
Malheur,1995,3.007684,0.2602056
Marion,1995,2.791977,0.2503964
Morrow,1995,2.853166,0.1912666
