Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
Albany,1990,0,0,0,0,0,0
Albany,1995,0,0,0.066,0.1,0,0
Albany,2000,0,0,0.132,0.17,0,0
Albany,2005,0,0,0.198,0.17,0,0
Albany,2010,0,0,0.264,0.225,0,0
Albany,2015,0,0,0.264,0.28,0,0
Albany,2020,0,0,0.264,0.28,0,0
Albany,2025,0,0,0.264,0.28,0,0
Albany,2030,0,0,0.264,0.28,0,0
Albany,2035,0,0,0.264,0.28,0,0
Albany,2040,0,0,0.264,0.28,0,0
Albany,2045,0,0,0.264,0.28,0,0
Albany,2050,0,0,0.264,0.28,0,0
Bend,1990,0,0,0,0,0,0
Bend,1995,0,0,0.1,0.1,0,0
Bend,2000,0,0,0.2,0.17,0,0
Bend,2005,0,0,0.3,0.17,0,0
Bend,2010,0,0,0.33,0.225,0,0
Bend,2015,0,0,0.36,0.28,0,0
Bend,2020,0,0,0.395,0.28,0,0
Bend,2025,0,0,0.43,0.28,0,0
Bend,2030,0,0,0.465,0.28,0,0
Bend,2035,0,0,0.5,0.28,0,0
Bend,2040,0,0,0.5,0.28,0,0
Bend,2045,0,0,0.5,0.28,0,0
Bend,2050,0,0,0.5,0.28,0,0
Corvallis,1990,0,0,0,0,0,0
Corvallis,1995,0,0,0.066,0.1,0,0
Corvallis,2000,0,0,0.132,0.17,0,0
Corvallis,2005,0,0,0.198,0.17,0,0
Corvallis,2010,0,0,0.264,0.225,0,0
Corvallis,2015,0,0,0.264,0.28,0,0
Corvallis,2020,0,0,0.285,0.28,0,0
Corvallis,2025,0,0,0.2925,0.28,0,0
Corvallis,2030,0,0,0.3,0.28,0,0
Corvallis,2035,0,0,0.3075,0.28,0,0
Corvallis,2040,0,0,0.315,0.28,0,0
Corvallis,2045,0,0,0.3225,0.28,0,0
Corvallis,2050,0,0,0.33,0.28,0,0
EugeneSpringfield,1990,0,0,0,0,0,0
EugeneSpringfield,1995,0,0,0.105,0.1,0,0
EugeneSpringfield,2000,0,0.125,0.21,0.17,0,0
EugeneSpringfield,2005,0,0.3,0.315,0.3,0,0
EugeneSpringfield,2010,0,0.4,0.42,0.4,0,0
EugeneSpringfield,2015,0,0.5,0.45,0.32,0,0
EugeneSpringfield,2020,0,0.6,0.52,0.42,0,0
EugeneSpringfield,2025,0,0.7,0.59,0.34,0,0
EugeneSpringfield,2030,0,0.8,0.66,0.44,0,0
EugeneSpringfield,2035,0.5,0.9,0.73,0.5,0,0
EugeneSpringfield,2040,0.5,0.9,0.77,0.5,0,0
EugeneSpringfield,2045,0.5,0.9,0.81,0.5,0,0
EugeneSpringfield,2050,0.5,0.9,0.85,0.5,0,0
GrantsPass,1990,0,0,0,0,0,0
GrantsPass,1995,0.151515152,0.1,0.076666667,0.1,0,0
GrantsPass,2000,0.303030303,0.2,0.153333333,0.17,0,0
GrantsPass,2005,0.454545455,0.3,0.23,0.17,0,0
GrantsPass,2010,0.5,0.4,0.23,0.225,0,0
GrantsPass,2015,0.52238806,0.4,0.23,0.28,0,0
GrantsPass,2020,0.548507463,0.431818182,0.2368,0.28,0,0
GrantsPass,2025,0.574626866,0.443181818,0.2436,0.28,0,0
GrantsPass,2030,0.600746269,0.454545455,0.2504,0.28,0,0
GrantsPass,2035,0.626865672,0.465909091,0.2572,0.28,0,0
GrantsPass,2040,0.626865672,0.477272727,0.264,0.28,0,0
GrantsPass,2045,0.626865672,0.488636364,0.264,0.28,0,0
GrantsPass,2050,0.626865672,0.5,0.264,0.28,0,0
Metro,1990,0.18,0,0,0,0,0
Metro,1995,0.34,0,0.105,0.2,0,0
Metro,2000,0.58,0.8333,0.21,0.3,0,0
Metro,2005,0.84,0.8333,0.315,0.4,0,0
Metro,2010,0.92,0.785,0.3625,0.49,0,0
Metro,2015,0.95,0.8,0.41,0.49,0,0
Metro,2020,0.95,0.78,0.421,0.49,0,0
Metro,2025,0.95,0.765,0.4575,0.49,0,0
Metro,2030,0.95,0.75,0.505,0.49,0,0
Metro,2035,0.95,0.735,0.505,0.49,0,0
Metro,2040,0.95,0.71,0.505,0.49,0,0
Metro,2045,0.95,0.7,0.505,0.49,0,0
Metro,2050,0.95,0.685,0.505,0.49,0,0
RogueValley,1990,0,0,0,0,0,0
RogueValley,1995,0,0,0.076666667,0.1,0,0
RogueValley,2000,0,0,0.153333333,0.17,0,0
RogueValley,2005,0,0,0.23,0.17,0,0
RogueValley,2010,0,0.2,0.23,0.225,0,0
RogueValley,2015,0,0.34,0.23,0.28,0,0
RogueValley,2020,0,0.48,0.2368,0.28,0,0
RogueValley,2025,0,0.62,0.2436,0.28,0,0
RogueValley,2030,0,0.76,0.2504,0.28,0,0
RogueValley,2035,0,0.9,0.2572,0.28,0,0
RogueValley,2040,0,0.9,0.264,0.28,0,0
RogueValley,2045,0,0.9,0.264,0.28,0,0
RogueValley,2050,0.2,0.9,0.264,0.28,0,0
SalemKeizer,1990,0,0,0,0,0,0
SalemKeizer,1995,0,0,0.066,0.1,0,0
SalemKeizer,2000,0,0,0.132,0.06,0,0
SalemKeizer,2005,0,0,0.198,0.07,0,0
SalemKeizer,2010,0,0,0.264,0.08,0,0
SalemKeizer,2015,0,0,0.264,0.09,0,0
SalemKeizer,2020,0,0,0.66,0.1,0,0
SalemKeizer,2025,0,0,0.715,0.116666667,0,0
SalemKeizer,2030,0,0,0.77,0.133333333,0,0
SalemKeizer,2035,0,0,0.825,0.15,0,0
SalemKeizer,2040,0,0,0.88,0.166666667,0,0
SalemKeizer,2045,0,0,0.935,0.183333333,0,0
SalemKeizer,2050,0,0,0.99,0.2,0,0
None,1990,0,0,0,0,0,0
None,1995,0,0,0,0,0,0
None,2000,0,0,0,0,0,0
None,2005,0,0,0,0,0,0
None,2010,0,0,0,0,0,0
None,2015,0,0,0,0,0,0
None,2020,0,0,0,0,0,0
None,2025,0,0,0,0,0,0
None,2030,0,0,0,0,0,0
None,2035,0,0,0,0,0,0
None,2040,0,0,0,0,0,0
None,2045,0,0,0,0,0,0
None,2050,0,0,0,0,0,0
