Year,Value
1990,130.6583333
1991,136.1666667
1992,140.3083333
1993,144.475
1994,148.225
1995,152.3833333
1996,156.8583333
1997,160.525
1998,163.0083333
1999,166.5833333
2000,172.1916667
2001,177.0416667
2002,179.8666667
2003,184.0
2004,188.9083333
2005,195.2666667
2006,201.5583333
2007,207.3441667
2008,215.25425
2009,214.5646667
2010,218.0761667
2011,224.923
2012,229.5860833
2013,232.95175
2014,236.715
2015,237.00175
2016,240.0054167
2017,245.1355
2018,251.1023333
2019,255.6525833
2020,258.8440833
2021,268.327175
2022,274.797175
2023,280.483175
2024,286.33745
2025,292.41095
2026,298.692125
2027,305.391575
2028,312.579675
2029,320.2149
2030,328.059125
2031,335.869325
2032,343.2584502
2033,350.8101361
2034,358.527959
2035,366.4155741
2036,374.4767168
2037,382.7152045
2038,391.134939
2039,399.7399077
2040,408.5341857
2041,417.5219378
2042,426.7074204
2043,436.0949836
2044,445.6890733
2045,455.4942329
2046,465.515106
2047,475.7564383
2048,486.22308
2049,496.9199877
2050,507.8522275
