Geo,Year, MetroLandArea , TownLandArea , RuralAveDensity 
Baker,1990,0,11.98106141,0.128125
Benton,1990,27.87623281,0.517779688,0.2625
Clackamas,1990,65.49869969,9.673023609,0.428125
Clatsop,1990,0,19.34308906,0.0953125
Columbia,1990,0,17.42624281,0.2265625
Coos,1990,0,21.82834531,0.221875
Crook,1990,0,7.480828125,0.0609375
Curry,1990,0,13.609,0.1234375
Deschutes,1990,31.1296875,15.79,0.26
Douglas,1990,0,35.93430384,0.2828125
Gilliam,1990,0,3.230848438,0.003125
Grant,1990,0,12.17334425,0.01875
Harney,1990,0,5.91334375,0.2640625
Hood River,1990,0,5.482390625,0.2765625
Jackson,1990,44.86382813,2.672317188,0.409375
Jefferson,1990,0,4.933860938,0.3140625
Josephine,1990,15.93203594,2.58671875,0.23125
Klamath,1990,0,38.1478875,0.0875
Lake,1990,0,5.961432813,0.1
Lane,1990,69.14633125,24.12549401,0.25625
Lincoln,1990,0,24.14063906,0.1796875
Linn,1990,26.30109219,22.64309752,0.1609375
Malheur,1990,0,13.77028438,0.1234375
Marion,1990,57.33730913,21.5310413,0.309375
Morrow,1990,0,9.837026563,0.2015625
Multnomah,1990,141.5475359,0,0.221875
Polk,1990,7.677125,13.04209844,0.2390625
Sherman,1990,0,2.78063125,0.0046875
Tillamook,1990,0,8.73541875,0.0640625
Umatilla,1990,0,46.16905625,0.1609375
Union,1990,0,11.589875,0.3265625
Wallowa,1990,0,4.019664063,0.0609375
Wasco,1990,0,10.06264219,0.340625
Washington,1990,101.534883,1.497551563,0.50625
Wheeler,1990,0,1.518246875,0.0015625
Yamhill,1990,0,25.14096069,0.403125
Baker,1995,0,12.29901938,0.128125
Benton,1995,27.87623281,0.517779688,0.2625
Clackamas,1995,67.16865359,12.14033611,0.428125
Clatsop,1995,0,19.36801177,0.0953125
Columbia,1995,0,18.04828734,0.2265625
Coos,1995,0,22.40399843,0.221875
Crook,1995,0,8.461890625,0.0609375
Curry,1995,0,17.06230625,0.1234375
Deschutes,1995,31.13968297,15.82,0.26
Douglas,1995,0,37.65010837,0.2828125
Gilliam,1995,0,3.230848438,0.003125
Grant,1995,0,12.17334425,0.01875
Harney,1995,0,6.213155469,0.2640625
Hood River,1995,0,5.482390625,0.2765625
Jackson,1995,44.86382813,2.957954688,0.409375
Jefferson,1995,0,5.120101406,0.3140625
Josephine,1995,15.94000594,2.58671875,0.23125
Klamath,1995,0,38.1478875,0.0875
Lake,1995,0,5.961432813,0.1
Lane,1995,69.16731961,24.15823545,0.25625
Lincoln,1995,0,24.20962289,0.1796875
Linn,1995,26.37228211,22.67992111,0.1609375
Malheur,1995,0,13.99290078,0.1234375
Marion,1995,57.33730913,21.79719663,0.309375
Morrow,1995,0,9.987164063,0.2015625
Multnomah,1995,142.4264969,0,0.221875
Polk,1995,7.677125,13.04282726,0.2390625
Sherman,1995,0,2.793013273,0.0046875
Tillamook,1995,0,8.741118594,0.0640625
Umatilla,1995,0,46.88461953,0.1609375
Union,1995,0,11.77565478,0.3265625
Wallowa,1995,0,4.019664063,0.0609375
Wasco,1995,0,10.06264219,0.340625
Washington,1995,102.0721425,1.497551563,0.50625
Wheeler,1995,0,1.562366875,0.0015625
Yamhill,1995,0,25.3502485,0.403125
Baker,2000,0,12.61697735,0.128125
Benton,2000,27.87623281,0.517779688,0.2625
Clackamas,2000,68.8386075,14.60764861,0.428125
Clatsop,2000,0,19.39293447,0.0953125
Columbia,2000,0,18.67033188,0.2265625
Coos,2000,0,22.97965155,0.221875
Crook,2000,0,9.442953125,0.0609375
Curry,2000,0,20.5156125,0.1234375
Deschutes,2000,31.14967844,15.85,0.26
Douglas,2000,0,39.36591289,0.2828125
Gilliam,2000,0,3.230848438,0.003125
Grant,2000,0,12.17334425,0.01875
Harney,2000,0,6.512967188,0.2640625
Hood River,2000,0,5.482390625,0.2765625
Jackson,2000,44.86382813,3.243592188,0.409375
Jefferson,2000,0,5.306341875,0.3140625
Josephine,2000,15.94797594,2.58671875,0.23125
Klamath,2000,0,38.1478875,0.0875
Lake,2000,0,5.961432813,0.1
Lane,2000,69.18830797,24.19097689,0.25625
Lincoln,2000,0,24.27860672,0.1796875
Linn,2000,26.44347203,22.7167447,0.1609375
Malheur,2000,0,14.21551719,0.1234375
Marion,2000,57.33730913,22.06335196,0.309375
Morrow,2000,0,10.13730156,0.2015625
Multnomah,2000,143.3054578,0,0.221875
Polk,2000,7.677125,13.04355608,0.2390625
Sherman,2000,0,2.805395297,0.0046875
Tillamook,2000,0,8.746818438,0.0640625
Umatilla,2000,0,47.60018281,0.1609375
Union,2000,0,11.96143456,0.3265625
Wallowa,2000,0,4.019664063,0.0609375
Wasco,2000,0,10.06264219,0.340625
Washington,2000,102.609402,1.497551563,0.50625
Wheeler,2000,0,1.606486875,0.0015625
Yamhill,2000,0,25.55953631,0.403125
Baker,2005,0,12.61697735,0.128125
Benton,2005,27.87623281,0.517779688,0.2625
Clackamas,2005,89.04953719,14.6789872,0.428125
Clatsop,2005,0,19.39293447,0.0953125
Columbia,2005,0,18.75841281,0.2265625
Coos,2005,0,22.97965155,0.221875
Crook,2005,0,13.11782813,0.0609375
Curry,2005,0,20.5156125,0.1234375
Deschutes,2005,31.93444406,16.09,0.26
Douglas,2005,0,40.7375567,0.2828125
Gilliam,2005,0,4.185632813,0.003125
Grant,2005,0,12.17334425,0.01875
Harney,2005,0,6.512967188,0.2640625
Hood River,2005,0,5.482390625,0.2765625
Jackson,2005,44.86382813,3.243592188,0.409375
Jefferson,2005,0,6.087255938,0.3140625
Josephine,2005,16.02091859,2.58671875,0.23125
Klamath,2005,0,38.15144975,0.0875
Lake,2005,0,5.961432813,0.1
Lane,2005,69.36037203,24.35272064,0.25625
Lincoln,2005,0,24.9290598,0.1796875
Linn,2005,26.44908506,22.74176993,0.1609375
Malheur,2005,0,14.21551719,0.1234375
Marion,2005,57.33730913,22.12161156,0.309375
Morrow,2005,0,10.19654781,0.2015625
Multnomah,2005,145.2758949,0,0.221875
Polk,2005,7.677125,13.11557562,0.2390625
Sherman,2005,0,2.805395297,0.0046875
Tillamook,2005,0,8.746818438,0.0640625
Umatilla,2005,0,48.25621597,0.1609375
Union,2005,0,12.05051736,0.3265625
Wallowa,2005,0,4.019664063,0.0609375
Wasco,2005,0,10.06264219,0.340625
Washington,2005,111.3944936,1.497551563,0.50625
Wheeler,2005,0,1.606486875,0.0015625
Yamhill,2005,0,26.08901053,0.403125
Baker,2010,0,12.61697735,0.128125
Benton,2010,27.94570266,0.517779688,0.2625
Clackamas,2010,89.05060119,14.88044814,0.428125
Clatsop,2010,0,19.40118019,0.0953125
Columbia,2010,0,18.79224875,0.2265625
Coos,2010,0,22.97970983,0.221875
Crook,2010,0,13.11782813,0.0609375
Curry,2010,0,20.5156125,0.1234375
Deschutes,2010,31.99162484,26.35,0.26
Douglas,2010,0,40.93619248,0.2828125
Gilliam,2010,0,4.185632813,0.003125
Grant,2010,0,12.17334425,0.01875
Harney,2010,0,6.512967188,0.2640625
Hood River,2010,0,5.482390625,0.2765625
Jackson,2010,44.86382813,3.399064844,0.409375
Jefferson,2010,0,6.250211875,0.3140625
Josephine,2010,16.02285191,2.58671875,0.23125
Klamath,2010,0,38.15144975,0.0875
Lake,2010,0,5.961432813,0.1
Lane,2010,69.36037203,25.37204252,0.25625
Lincoln,2010,0,25.3610098,0.1796875
Linn,2010,26.44908506,22.74176993,0.1609375
Malheur,2010,0,15.03622656,0.1234375
Marion,2010,57.40466631,22.46725422,0.309375
Morrow,2010,0,10.19654781,0.2015625
Multnomah,2010,145.278937,0,0.221875
Polk,2010,7.677125,13.70799405,0.2390625
Sherman,2010,0,2.805395297,0.0046875
Tillamook,2010,0,8.746818438,0.0640625
Umatilla,2010,0,48.88514409,0.1609375
Union,2010,0,12.46626298,0.3265625
Wallowa,2010,0,4.019664063,0.0609375
Wasco,2010,0,10.06264219,0.340625
Washington,2010,111.4032195,1.710242188,0.50625
Wheeler,2010,0,1.606486875,0.0015625
Yamhill,2010,0,26.15198259,0.403125
Baker,2015,0,12.68637073,0.128125
Benton,2015,28.16926828,0.520627476,0.2625
Clackamas,2015,89.763006,14.9622906,0.428125
Clatsop,2015,0,19.50788668,0.0953125
Columbia,2015,0,18.89560612,0.2265625
Coos,2015,0,23.10609823,0.221875
Crook,2015,0,13.18997618,0.0609375
Curry,2015,0,20.62844837,0.1234375
Deschutes,2015,32.24755784,26.494925,0.26
Douglas,2015,0,41.16134154,0.2828125
Gilliam,2015,0,4.208653793,0.003125
Grant,2015,0,12.24029764,0.01875
Harney,2015,0,6.548788508,0.2640625
Hood River,2015,0,5.512543773,0.2765625
Jackson,2015,45.22273876,3.417759701,0.409375
Jefferson,2015,0,6.28458804,0.3140625
Josephine,2015,16.15103473,2.600945703,0.23125
Klamath,2015,0,38.36128272,0.0875
Lake,2015,0,5.994220693,0.1
Lane,2015,69.91525501,25.51158875,0.25625
Lincoln,2015,0,25.50049535,0.1796875
Linn,2015,26.66067774,22.86684966,0.1609375
Malheur,2015,0,15.11892581,0.1234375
Marion,2015,57.86390364,22.59082412,0.309375
Morrow,2015,0,10.25262882,0.2015625
Multnomah,2015,146.4411685,0,0.221875
Polk,2015,7.738542,13.78338802,0.2390625
Sherman,2015,0,2.820824971,0.0046875
Tillamook,2015,0,8.794925939,0.0640625
Umatilla,2015,0,49.15401238,0.1609375
Union,2015,0,12.53482743,0.3265625
Wallowa,2015,0,4.041772215,0.0609375
Wasco,2015,0,10.11798672,0.340625
Washington,2015,112.2944453,1.71964852,0.50625
Wheeler,2015,0,1.615322553,0.0015625
Yamhill,2015,0,26.29581849,0.403125
Baker,2020,0,12.75614576,0.128125
Benton,2020,28.39462243,0.523490927,0.2625
Clackamas,2020,90.48111005,15.0445832,0.428125
Clatsop,2020,0,19.61518006,0.0953125
Columbia,2020,0,18.99953195,0.2265625
Coos,2020,0,23.23318177,0.221875
Crook,2020,0,13.26252105,0.0609375
Curry,2020,0,20.74190483,0.1234375
Deschutes,2020,32.5055383,26.64064709,0.26
Douglas,2020,0,41.38772892,0.2828125
Gilliam,2020,0,4.231801389,0.003125
Grant,2020,0,12.30761928,0.01875
Harney,2020,0,6.584806844,0.2640625
Hood River,2020,0,5.542862764,0.2765625
Jackson,2020,45.58452067,3.436557379,0.409375
Jefferson,2020,0,6.319153275,0.3140625
Josephine,2020,16.280243,2.615250904,0.23125
Klamath,2020,0,38.57226978,0.0875
Lake,2020,0,6.027188907,0.1
Lane,2020,70.47457705,25.65190249,0.25625
Lincoln,2020,0,25.64074808,0.1796875
Linn,2020,26.87396316,22.99261734,0.1609375
Malheur,2020,0,15.2020799,0.1234375
Marion,2020,58.32681487,22.71507365,0.309375
Morrow,2020,0,10.30901828,0.2015625
Multnomah,2020,147.6126978,0,0.221875
Polk,2020,7.800450336,13.85919665,0.2390625
Sherman,2020,0,2.836339508,0.0046875
Tillamook,2020,0,8.843298032,0.0640625
Umatilla,2020,0,49.42435945,0.1609375
Union,2020,0,12.60376898,0.3265625
Wallowa,2020,0,4.064001963,0.0609375
Wasco,2020,0,10.17363565,0.340625
Washington,2020,113.1928008,1.729106587,0.50625
Wheeler,2020,0,1.624206827,0.0015625
Yamhill,2020,0,26.4404455,0.403125
Baker,2025,0,12.82630457,0.128125
Benton,2025,28.62177941,0.526370128,0.2625
Clackamas,2025,91.20495893,15.12732841,0.428125
Clatsop,2025,0,19.72306355,0.0953125
Columbia,2025,0,19.10402938,0.2265625
Coos,2025,0,23.36096427,0.221875
Crook,2025,0,13.33546492,0.0609375
Curry,2025,0,20.85598531,0.1234375
Deschutes,2025,32.76558261,26.78717065,0.26
Douglas,2025,0,41.61536143,0.2828125
Gilliam,2025,0,4.255076297,0.003125
Grant,2025,0,12.37531119,0.01875
Harney,2025,0,6.621023282,0.2640625
Hood River,2025,0,5.573348509,0.2765625
Jackson,2025,45.94919683,3.455458445,0.409375
Jefferson,2025,0,6.353908618,0.3140625
Josephine,2025,16.41048495,2.629634784,0.23125
Klamath,2025,0,38.78441726,0.0875
Lake,2025,0,6.060338446,0.1
Lane,2025,71.03837366,25.79298796,0.25625
Lincoln,2025,0,25.78177219,0.1796875
Linn,2025,27.08895487,23.11907673,0.1609375
Malheur,2025,0,15.28569134,0.1234375
Marion,2025,58.79342939,22.84000656,0.309375
Morrow,2025,0,10.36571788,0.2015625
Multnomah,2025,148.7935994,0,0.221875
Polk,2025,7.862853939,13.93542223,0.2390625
Sherman,2025,0,2.851939376,0.0046875
Tillamook,2025,0,8.891936171,0.0640625
Umatilla,2025,0,49.69619343,0.1609375
Union,2025,0,12.67308971,0.3265625
Wallowa,2025,0,4.086353973,0.0609375
Wasco,2025,0,10.22959065,0.340625
Washington,2025,114.0983432,1.738616673,0.50625
Wheeler,2025,0,1.633139964,0.0015625
Yamhill,2025,0,26.58586795,0.403125
Baker,2030,0,12.89684924,0.128125
Benton,2030,28.85075364,0.529265163,0.2625
Clackamas,2030,91.9345986,15.21052872,0.428125
Clatsop,2030,0,19.8315404,0.0953125
Columbia,2030,0,19.20910154,0.2265625
Coos,2030,0,23.48944958,0.221875
Crook,2030,0,13.40880998,0.0609375
Curry,2030,0,20.97069323,0.1234375
Deschutes,2030,33.02770727,26.93450009,0.26
Douglas,2030,0,41.84424591,0.2828125
Gilliam,2030,0,4.278479217,0.003125
Grant,2030,0,12.4433754,0.01875
Harney,2030,0,6.65743891,0.2640625
Hood River,2030,0,5.604001926,0.2765625
Jackson,2030,46.31679041,3.474463466,0.409375
Jefferson,2030,0,6.388855115,0.3140625
Josephine,2030,16.54176883,2.644097776,0.23125
Klamath,2030,0,38.99773156,0.0875
Lake,2030,0,6.093670308,0.1
Lane,2030,71.60668065,25.93484939,0.25625
Lincoln,2030,0,25.92357194,0.1796875
Linn,2030,27.30566651,23.24623166,0.1609375
Malheur,2030,0,15.36976264,0.1234375
Marion,2030,59.26377682,22.96562659,0.309375
Morrow,2030,0,10.42272933,0.2015625
Multnomah,2030,149.9839482,0,0.221875
Polk,2030,7.92575677,14.01206706,0.2390625
Sherman,2030,0,2.867625042,0.0046875
